[2020-07-08 18:56:06.541819] Generating Gabor Filters...
[2020-07-08 18:56:06.551142] Generating Gabor Filters Done!
[2020-07-08 18:56:06.551171] Loading MNIST Data...
[2020-07-08 18:56:07.803702] Loading MNIST Data Done!
[2020-07-08 18:56:08.019601] Convoluting Images...
[2020-07-08 18:56:34.211334] Convoluting Images Done!
[2020-07-08 18:56:34.211946] Image Blocks and Gabor Images Capturing...
[2020-07-08 19:05:39.713928] Epoch : 0071 loss = 0.899336424
[2020-07-08 19:05:43.857701] Epoch : 0072 loss = 4.745050167
[2020-07-08 19:05:47.998919] Epoch : 0073 loss = 6.216411744
[2020-07-08 19:05:52.140447] Epoch : 0074 loss = 4.830409191
[2020-07-08 19:05:56.320349] Epoch : 0075 loss = 3.022211978
[2020-07-08 19:06:00.587481] Epoch : 0076 loss = 1.740335397
[2020-07-08 19:06:04.877138] Epoch : 0077 loss = 0.954646799
[2020-07-08 19:06:09.170489] Epoch : 0078 loss = 0.498155367
[2020-07-08 19:06:13.387332] Epoch : 0079 loss = 0.301701698
[2020-07-08 19:06:17.487434] Epoch : 0080 loss = 0.179079612
[2020-07-08 19:06:21.619366] Epoch : 0081 loss = 0.141634501
[2020-07-08 19:06:25.779371] Epoch : 0082 loss = 0.112604436
[2020-07-08 19:06:29.949397] Epoch : 0083 loss = 0.098379737
[2020-07-08 19:06:34.095224] Epoch : 0084 loss = 0.085585925
[2020-07-08 19:06:38.287726] Epoch : 0085 loss = 0.076250608
[2020-07-08 19:06:42.447223] Epoch : 0086 loss = 0.071310733
[2020-07-08 19:06:46.583314] Epoch : 0087 loss = 0.069934777
[2020-07-08 19:06:50.724150] Epoch : 0088 loss = 0.071696906
[2020-07-08 19:06:54.836624] Epoch : 0089 loss = 0.083571398
[2020-07-08 19:06:58.945406] Epoch : 0090 loss = 451.923125264
[2020-07-08 19:07:03.054206] Epoch : 0091 loss = 0.213716269
[2020-07-08 19:07:07.178431] Epoch : 0092 loss = 0.185635252
[2020-07-08 19:07:11.292890] Epoch : 0093 loss = 0.268612232
[2020-07-08 19:07:15.460300] Epoch : 0094 loss = 1.638416230
[2020-07-08 19:07:19.619868] Epoch : 0095 loss = 3.637383561
[2020-07-08 19:07:23.734174] Epoch : 0096 loss = 2.787694773
[2020-07-08 19:07:27.918401] Epoch : 0097 loss = 1.750759085
[2020-07-08 19:07:32.041174] Epoch : 0098 loss = 0.994783645
[2020-07-08 19:07:36.150139] Epoch : 0099 loss = 0.595410119
[2020-07-08 19:07:40.262666] Epoch : 0100 loss = 0.348850825
[2020-07-08 19:07:44.444096] Epoch : 0101 loss = 0.224726890
[2020-07-08 19:07:48.580025] Epoch : 0102 loss = 0.158173585
[2020-07-08 19:07:52.705588] Epoch : 0103 loss = 0.122883700
[2020-07-08 19:07:56.831800] Epoch : 0104 loss = 0.101719222
[2020-07-08 19:08:00.939933] Epoch : 0105 loss = 0.087706658
[2020-07-08 19:08:05.061413] Epoch : 0106 loss = 0.078957290
[2020-07-08 19:08:09.251900] Epoch : 0107 loss = 0.073926910
[2020-07-08 19:08:13.409486] Epoch : 0108 loss = 0.070828823
[2020-07-08 19:08:17.529438] Epoch : 0109 loss = 0.070482836
[2020-07-08 19:08:21.686452] Epoch : 0110 loss = 0.074923721
[2020-07-08 19:08:25.858356] Epoch : 0111 loss = 1184.437140985
[2020-07-08 19:08:29.965263] Epoch : 0112 loss = 0.888583243
[2020-07-08 19:08:34.102773] Epoch : 0113 loss = 0.201150467
[2020-07-08 19:08:38.316873] Epoch : 0114 loss = 0.173885954
[2020-07-08 19:08:42.451607] Epoch : 0115 loss = 0.171801011
[2020-07-08 19:08:46.591119] Epoch : 0116 loss = 0.171473272
[2020-07-08 19:08:50.713867] Epoch : 0117 loss = 0.213499089
[2020-07-08 19:08:54.852560] Epoch : 0118 loss = 0.984104853
[2020-07-08 19:08:58.950174] Epoch : 0119 loss = 2.467482768
[2020-07-08 19:09:03.067940] Epoch : 0120 loss = 2.315934845
[2020-07-08 19:09:07.207306] Epoch : 0121 loss = 1.558426798
[2020-07-08 19:09:11.304766] Epoch : 0122 loss = 0.907027470
[2020-07-08 19:09:15.398123] Epoch : 0123 loss = 0.495174207
[2020-07-08 19:09:19.497630] Epoch : 0124 loss = 0.285970295
[2020-07-08 19:09:23.567138] Epoch : 0125 loss = 0.193214094
[2020-07-08 19:09:27.610577] Epoch : 0126 loss = 0.139848265
[2020-07-08 19:09:31.627319] Epoch : 0127 loss = 0.112688680
[2020-07-08 19:09:35.689278] Epoch : 0128 loss = 0.097625712
[2020-07-08 19:09:39.790256] Epoch : 0129 loss = 0.085616539
[2020-07-08 19:09:43.936623] Epoch : 0130 loss = 0.076090488
[2020-07-08 19:09:48.191192] Epoch : 0131 loss = 0.070503958
[2020-07-08 19:09:52.441814] Epoch : 0132 loss = 0.067963256
[2020-07-08 19:09:56.731208] Epoch : 0133 loss = 0.069332957
[2020-07-08 19:10:01.077878] Epoch : 0134 loss = 0.077652834
[2020-07-08 19:10:05.403841] Epoch : 0135 loss = 779.341813757
[2020-07-08 19:10:09.635834] Epoch : 0136 loss = 0.421763278
[2020-07-08 19:10:13.916085] Epoch : 0137 loss = 0.169197941
[2020-07-08 19:10:18.094152] Epoch : 0138 loss = 0.158465627
[2020-07-08 19:10:22.300683] Epoch : 0139 loss = 0.157640855
[2020-07-08 19:10:26.506664] Epoch : 0140 loss = 0.157428190
[2020-07-08 19:10:30.658997] Epoch : 0141 loss = 0.167987039
[2020-07-08 19:10:34.824832] Epoch : 0142 loss = 0.613930719
[2020-07-08 19:10:39.030364] Epoch : 0143 loss = 1.468698800
[2020-07-08 19:10:43.203775] Epoch : 0144 loss = 1.474782694
[2020-07-08 19:10:47.360253] Epoch : 0145 loss = 1.033296946
[2020-07-08 19:10:51.515673] Epoch : 0146 loss = 0.611352133
[2020-07-08 19:10:55.652468] Epoch : 0147 loss = 0.371235169
[2020-07-08 19:10:59.959467] Epoch : 0148 loss = 0.234651047
[2020-07-08 19:11:04.189651] Epoch : 0149 loss = 0.157822941
[2020-07-08 19:11:08.302011] Epoch : 0150 loss = 0.124771710
[2020-07-08 19:11:12.532749] Epoch : 0151 loss = 0.104003393
[2020-07-08 19:11:16.679205] Epoch : 0152 loss = 0.089604928
[2020-07-08 19:11:20.870009] Epoch : 0153 loss = 0.079488220
[2020-07-08 19:11:25.045211] Epoch : 0154 loss = 0.073046654
[2020-07-08 19:11:29.173026] Epoch : 0155 loss = 0.068844465
[2020-07-08 19:11:33.315313] Epoch : 0156 loss = 0.067875495
[2020-07-08 19:11:37.479684] Epoch : 0157 loss = 0.072893199
[2020-07-08 19:11:41.646356] Epoch : 0158 loss = 0.089820737
[2020-07-08 19:11:45.825503] Epoch : 0159 loss = 177.465995349
[2020-07-08 19:11:49.988666] Epoch : 0160 loss = 0.112971245
[2020-07-08 19:11:54.220768] Epoch : 0161 loss = 0.112188400
[2020-07-08 19:11:58.380108] Epoch : 0162 loss = 0.111866154
[2020-07-08 19:12:02.543681] Epoch : 0163 loss = 0.111531052
[2020-07-08 19:12:06.721232] Epoch : 0164 loss = 0.120073631
[2020-07-08 19:12:10.898736] Epoch : 0165 loss = 0.175610371
[2020-07-08 19:12:14.996348] Epoch : 0166 loss = 0.283316572
[2020-07-08 19:12:19.161335] Epoch : 0167 loss = 0.256625463
[2020-07-08 19:12:23.280744] Epoch : 0168 loss = 0.196468908
[2020-07-08 19:12:27.442418] Epoch : 0169 loss = 0.140278544
[2020-07-08 19:12:31.617641] Epoch : 0170 loss = 0.113753815
[2020-07-08 19:12:35.787189] Epoch : 0171 loss = 0.096711905
[2020-07-08 19:12:39.965957] Epoch : 0172 loss = 0.086077060
[2020-07-08 19:12:44.133451] Epoch : 0173 loss = 0.078536826
[2020-07-08 19:12:48.320258] Epoch : 0174 loss = 0.073564592
[2020-07-08 19:12:52.548177] Epoch : 0175 loss = 0.070599801
[2020-07-08 19:12:56.725618] Epoch : 0176 loss = 0.070610601
[2020-07-08 19:13:00.868113] Epoch : 0177 loss = 0.076263790
[2020-07-08 19:13:04.992900] Epoch : 0178 loss = 104.782968588
[2020-07-08 19:13:09.156471] Epoch : 0179 loss = 0.157824397
[2020-07-08 19:13:13.387304] Epoch : 0180 loss = 0.142695650
[2020-07-08 19:13:17.610397] Epoch : 0181 loss = 0.142204058
[2020-07-08 19:13:21.788918] Epoch : 0182 loss = 0.216001796
[2020-07-08 19:13:25.983598] Epoch : 0183 loss = 0.614000375
[2020-07-08 19:13:30.128123] Epoch : 0184 loss = 0.705883239
[2020-07-08 19:13:34.265866] Epoch : 0185 loss = 0.517924252
[2020-07-08 19:13:38.425591] Epoch : 0186 loss = 0.354113342
[2020-07-08 19:13:42.601198] Epoch : 0187 loss = 0.258452982
[2020-07-08 19:13:46.779381] Epoch : 0188 loss = 0.174498877
[2020-07-08 19:13:50.868601] Epoch : 0189 loss = 0.126908048
[2020-07-08 19:13:55.004650] Epoch : 0190 loss = 0.105334900
[2020-07-08 19:13:59.170400] Epoch : 0191 loss = 0.093741238
[2020-07-08 19:14:03.332888] Epoch : 0192 loss = 0.084866772
[2020-07-08 19:14:07.497383] Epoch : 0193 loss = 0.078020401
[2020-07-08 19:14:11.672997] Epoch : 0194 loss = 0.073199364
[2020-07-08 19:14:15.858124] Epoch : 0195 loss = 0.069603372
[2020-07-08 19:14:20.036154] Epoch : 0196 loss = 0.068434754
[2020-07-08 19:14:24.176809] Epoch : 0197 loss = 0.073097448
[2020-07-08 19:14:28.309203] Epoch : 0198 loss = 221.805850715
[2020-07-08 19:14:32.468534] Epoch : 0199 loss = 0.156741993
[2020-07-08 19:14:36.702834] Epoch : 0200 loss = 0.134269460
[2020-07-08 19:14:40.954042] Epoch : 0201 loss = 0.133413907
[2020-07-08 19:14:45.144472] Epoch : 0202 loss = 0.133117468
[2020-07-08 19:14:49.314944] Epoch : 0203 loss = 0.132829502
[2020-07-08 19:14:53.462874] Epoch : 0204 loss = 0.173819249
[2020-07-08 19:14:57.563958] Epoch : 0205 loss = 0.451351952
[2020-07-08 19:15:01.759753] Epoch : 0206 loss = 0.595253898
[2020-07-08 19:15:05.880005] Epoch : 0207 loss = 0.462935406
[2020-07-08 19:15:10.027621] Epoch : 0208 loss = 0.324916237
[2020-07-08 19:15:14.139082] Epoch : 0209 loss = 0.212836503
[2020-07-08 19:15:18.256549] Epoch : 0210 loss = 0.150009507
[2020-07-08 19:15:22.378358] Epoch : 0211 loss = 0.115988968
[2020-07-08 19:15:26.506655] Epoch : 0212 loss = 0.099078806
[2020-07-08 19:15:30.643314] Epoch : 0213 loss = 0.090687628
[2020-07-08 19:15:34.762698] Epoch : 0214 loss = 0.081184429
[2020-07-08 19:15:38.869910] Epoch : 0215 loss = 0.073552111
[2020-07-08 19:15:42.965984] Epoch : 0216 loss = 0.069129916
[2020-07-08 19:15:47.081083] Epoch : 0217 loss = 0.067437818
[2020-07-08 19:15:51.217295] Epoch : 0218 loss = 0.069850481
[2020-07-08 19:15:55.335145] Epoch : 0219 loss = 0.079328791
[2020-07-08 19:15:59.567986] Epoch : 0220 loss = 0.116214432
[2020-07-08 19:16:03.744230] Epoch : 0221 loss = 0.132501073
[2020-07-08 19:16:07.872251] Epoch : 0222 loss = 0.131443430
[2020-07-08 19:16:12.012548] Epoch : 0223 loss = 0.131281381
[2020-07-08 19:16:16.151091] Epoch : 0224 loss = 0.130981459
[2020-07-08 19:16:20.296329] Epoch : 0225 loss = 0.130451144
[2020-07-08 19:16:24.390849] Epoch : 0226 loss = 0.129993003
[2020-07-08 19:16:28.443984] Epoch : 0227 loss = 0.129343447
[2020-07-08 19:16:32.576739] Epoch : 0228 loss = 0.129639045
[2020-07-08 19:16:36.671746] Epoch : 0229 loss = 0.129042168
[2020-07-08 19:16:40.754056] Epoch : 0230 loss = 0.128441357
[2020-07-08 19:16:44.868424] Epoch : 0231 loss = 0.128079155
[2020-07-08 19:16:48.969173] Epoch : 0232 loss = 0.127429816
[2020-07-08 19:16:53.125540] Epoch : 0233 loss = 0.127424791
[2020-07-08 19:16:57.334161] Epoch : 0234 loss = 0.126781580
[2020-07-08 19:17:01.480029] Epoch : 0235 loss = 0.126063844
[2020-07-08 19:17:05.741442] Epoch : 0236 loss = 0.125461759
[2020-07-08 19:17:09.936757] Epoch : 0237 loss = 0.125125740
[2020-07-08 19:17:14.186870] Epoch : 0238 loss = 0.124773769
[2020-07-08 19:17:18.295843] Epoch : 0239 loss = 0.124191388
[2020-07-08 19:17:22.345245] Epoch : 0240 loss = 0.123319208
[2020-07-08 19:17:26.421649] Epoch : 0241 loss = 0.122815678
[2020-07-08 19:17:30.498396] Epoch : 0242 loss = 0.122346456
[2020-07-08 19:17:34.596162] Epoch : 0243 loss = 0.121359001
[2020-07-08 19:17:38.670172] Epoch : 0244 loss = 0.120644766
[2020-07-08 19:17:42.770547] Epoch : 0245 loss = 0.120473868
[2020-07-08 19:17:46.884661] Epoch : 0246 loss = 0.118872278
[2020-07-08 19:17:51.004642] Epoch : 0247 loss = 0.118081044
[2020-07-08 19:17:55.124068] Epoch : 0248 loss = 0.117249815
[2020-07-08 19:17:59.263359] Epoch : 0249 loss = 0.115662684
[2020-07-08 19:18:03.383833] Epoch : 0250 loss = 0.114545730
[2020-07-08 19:18:07.477669] Epoch : 0251 loss = 0.113149326
[2020-07-08 19:18:11.673029] Epoch : 0252 loss = 0.111465978
[2020-07-08 19:18:15.878228] Epoch : 0253 loss = 0.109918116
[2020-07-08 19:18:20.048626] Epoch : 0254 loss = 0.107758140
[2020-07-08 19:18:24.175041] Epoch : 0255 loss = 0.104533629
[2020-07-08 19:18:28.291386] Epoch : 0256 loss = 0.097987274
[2020-07-08 19:18:32.416122] Epoch : 0257 loss = 0.088322080
[2020-07-08 19:18:36.549715] Epoch : 0258 loss = 20.910253954
[2020-07-08 19:18:40.644616] Epoch : 0259 loss = 0.098028110
[2020-07-08 19:18:44.913696] Epoch : 0260 loss = 0.093430223
[2020-07-08 19:18:49.090457] Epoch : 0261 loss = 0.092158060
[2020-07-08 19:18:53.253458] Epoch : 0262 loss = 0.091257882
[2020-07-08 19:18:57.417269] Epoch : 0263 loss = 0.090405556
[2020-07-08 19:19:01.575610] Epoch : 0264 loss = 0.090954266
[2020-07-08 19:19:05.772669] Epoch : 0265 loss = 0.103761083
[2020-07-08 19:19:09.946542] Epoch : 0266 loss = 0.107509294
[2020-07-08 19:19:14.112150] Epoch : 0267 loss = 0.098804339
[2020-07-08 19:19:18.260384] Epoch : 0268 loss = 0.092024245
[2020-07-08 19:19:22.425329] Epoch : 0269 loss = 0.084277735
[2020-07-08 19:19:26.595955] Epoch : 0270 loss = 0.076625518
[2020-07-08 19:19:30.749757] Epoch : 0271 loss = 0.071240249
[2020-07-08 19:19:34.860479] Epoch : 0272 loss = 0.068372629
[2020-07-08 19:19:38.988411] Epoch : 0273 loss = 0.067742835
[2020-07-08 19:19:43.123934] Epoch : 0274 loss = 0.071587957
[2020-07-08 19:19:47.247135] Epoch : 0275 loss = 0.079097722
[2020-07-08 19:19:51.402916] Epoch : 0276 loss = 0.082579011
[2020-07-08 19:19:55.518378] Epoch : 0277 loss = 9.660934753
[2020-07-08 19:19:59.597848] Epoch : 0278 loss = 0.106597982
[2020-07-08 19:20:03.702150] Epoch : 0279 loss = 0.102355172
[2020-07-08 19:20:07.796385] Epoch : 0280 loss = 0.101460413
[2020-07-08 19:20:11.872145] Epoch : 0281 loss = 0.110110759
[2020-07-08 19:20:15.946334] Epoch : 0282 loss = 0.145700933
[2020-07-08 19:20:20.064714] Epoch : 0283 loss = 0.135572056
[2020-07-08 19:20:24.143407] Epoch : 0284 loss = 0.111844759
[2020-07-08 19:20:28.294199] Epoch : 0285 loss = 0.098048720
[2020-07-08 19:20:32.426750] Epoch : 0286 loss = 0.091240790
[2020-07-08 19:20:36.566731] Epoch : 0287 loss = 0.084262919
[2020-07-08 19:20:40.703378] Epoch : 0288 loss = 0.076111240
[2020-07-08 19:20:44.857900] Epoch : 0289 loss = 0.070880505
[2020-07-08 19:20:48.962930] Epoch : 0290 loss = 0.068164849
[2020-07-08 19:20:52.990790] Epoch : 0291 loss = 0.067290380
[2020-07-08 19:20:57.063097] Epoch : 0292 loss = 0.069871258
[2020-07-08 19:21:01.170275] Epoch : 0293 loss = 0.075728721
[2020-07-08 19:21:05.256274] Epoch : 0294 loss = 0.078863374
[2020-07-08 19:21:09.359311] Epoch : 0295 loss = 0.079053089
[2020-07-08 19:21:13.420843] Epoch : 0296 loss = 11.127035204
[2020-07-08 19:21:17.487311] Epoch : 0297 loss = 0.104021630
[2020-07-08 19:21:21.553694] Epoch : 0298 loss = 0.103159112
[2020-07-08 19:21:25.640780] Epoch : 0299 loss = 0.102644368
[2020-07-08 19:21:29.742959] Epoch : 0300 loss = 0.128845967
[2020-07-08 19:21:33.835931] Epoch : 0301 loss = 0.151823008
[2020-07-08 19:21:37.939419] Epoch : 0302 loss = 0.131100500
[2020-07-08 19:21:42.045496] Epoch : 0303 loss = 0.109523847
[2020-07-08 19:21:46.106241] Epoch : 0304 loss = 0.096777071
[2020-07-08 19:21:50.200379] Epoch : 0305 loss = 0.091425068
[2020-07-08 19:21:54.386623] Epoch : 0306 loss = 0.086959290
[2020-07-08 19:21:58.506279] Epoch : 0307 loss = 0.078145611
[2020-07-08 19:22:02.525176] Epoch : 0308 loss = 0.070336299
[2020-07-08 19:22:06.638674] Epoch : 0309 loss = 0.066330659
[2020-07-08 19:22:10.735341] Epoch : 0310 loss = 0.065412285
[2020-07-08 19:22:14.849617] Epoch : 0311 loss = 0.068634566
[2020-07-08 19:22:18.951538] Epoch : 0312 loss = 0.074311535
[2020-07-08 19:22:23.147907] Epoch : 0313 loss = 0.076353411
[2020-07-08 19:22:27.413367] Epoch : 0314 loss = 0.075381416
[2020-07-08 19:22:31.675474] Epoch : 0315 loss = 4.207852626
[2020-07-08 19:22:35.893342] Epoch : 0316 loss = 0.099868114
[2020-07-08 19:22:39.992560] Epoch : 0317 loss = 0.098392950
[2020-07-08 19:22:44.085989] Epoch : 0318 loss = 0.098262234
[2020-07-08 19:22:48.189712] Epoch : 0319 loss = 0.113796465
[2020-07-08 19:22:52.335848] Epoch : 0320 loss = 0.117760990
[2020-07-08 19:22:56.460120] Epoch : 0321 loss = 0.103566549
[2020-07-08 19:23:00.543410] Epoch : 0322 loss = 0.094208722
[2020-07-08 19:23:04.683241] Epoch : 0323 loss = 0.088480833
[2020-07-08 19:23:08.762104] Epoch : 0324 loss = 0.081287896
[2020-07-08 19:23:12.868417] Epoch : 0325 loss = 0.074352895
[2020-07-08 19:23:17.006039] Epoch : 0326 loss = 0.069520911
[2020-07-08 19:23:21.104608] Epoch : 0327 loss = 0.066538117
[2020-07-08 19:23:25.252816] Epoch : 0328 loss = 0.066441313
[2020-07-08 19:23:29.409993] Epoch : 0329 loss = 0.069701866
[2020-07-08 19:23:33.463426] Epoch : 0330 loss = 0.073459895
[2020-07-08 19:23:37.576344] Epoch : 0331 loss = 0.074166053
[2020-07-08 19:23:41.719900] Epoch : 0332 loss = 0.073509802
[2020-07-08 19:23:45.834395] Epoch : 0333 loss = 0.073305158
[2020-07-08 19:23:49.912350] Epoch : 0334 loss = 4.151064686
[2020-07-08 19:23:54.002302] Epoch : 0335 loss = 0.097516078
[2020-07-08 19:23:58.078367] Epoch : 0336 loss = 0.096218790
[2020-07-08 19:24:02.174332] Epoch : 0337 loss = 0.096291707
[2020-07-08 19:24:06.284588] Epoch : 0338 loss = 0.104318578
[2020-07-08 19:24:10.420284] Epoch : 0339 loss = 0.110023122
[2020-07-08 19:24:14.544421] Epoch : 0340 loss = 0.100754428
[2020-07-08 19:24:18.700387] Epoch : 0341 loss = 0.093511609
[2020-07-08 19:24:22.900966] Epoch : 0342 loss = 0.088486229
[2020-07-08 19:24:27.093141] Epoch : 0343 loss = 0.081248524
[2020-07-08 19:24:31.198031] Epoch : 0344 loss = 0.073994470
[2020-07-08 19:24:35.293326] Epoch : 0345 loss = 0.068979770
[2020-07-08 19:24:39.455425] Epoch : 0346 loss = 0.066202690
[2020-07-08 19:24:43.578645] Epoch : 0347 loss = 0.065956660
[2020-07-08 19:24:47.683374] Epoch : 0348 loss = 0.068682909
[2020-07-08 19:24:51.774652] Epoch : 0349 loss = 0.071608242
[2020-07-08 19:24:55.913113] Epoch : 0350 loss = 0.072038939
[2020-07-08 19:25:00.003298] Epoch : 0351 loss = 0.071236910
[2020-07-08 19:25:04.078207] Epoch : 0352 loss = 0.071069801
[2020-07-08 19:25:08.178602] Epoch : 0353 loss = 0.071155873
[2020-07-08 19:25:12.294403] Epoch : 0354 loss = 0.070590476
[2020-07-08 19:25:16.415285] Epoch : 0355 loss = 3.503200285
[2020-07-08 19:25:20.488587] Epoch : 0356 loss = 0.717168371
[2020-07-08 19:25:24.629339] Epoch : 0357 loss = 0.092097408
[2020-07-08 19:25:28.743135] Epoch : 0358 loss = 0.090767023
[2020-07-08 19:25:32.861947] Epoch : 0359 loss = 0.090175207
[2020-07-08 19:25:36.971851] Epoch : 0360 loss = 0.091555636
[2020-07-08 19:25:41.046640] Epoch : 0361 loss = 0.095619474
[2020-07-08 19:25:45.162474] Epoch : 0362 loss = 0.095402688
[2020-07-08 19:25:49.282192] Epoch : 0363 loss = 0.091802966
[2020-07-08 19:25:53.406327] Epoch : 0364 loss = 0.088535003
[2020-07-08 19:25:57.513335] Epoch : 0365 loss = 0.082405757
[2020-07-08 19:26:01.653836] Epoch : 0366 loss = 0.073621720
[2020-07-08 19:26:05.770970] Epoch : 0367 loss = 0.068131322
[2020-07-08 19:26:09.972881] Epoch : 0368 loss = 0.065936745
[2020-07-08 19:26:14.168135] Epoch : 0369 loss = 0.065544466
[2020-07-08 19:26:18.386297] Epoch : 0370 loss = 0.066956605
[2020-07-08 19:26:22.501266] Epoch : 0371 loss = 0.068771973
[2020-07-08 19:26:26.587357] Epoch : 0372 loss = 0.069214473
[2020-07-08 19:26:30.756649] Epoch : 0373 loss = 0.069073778
[2020-07-08 19:26:35.048795] Epoch : 0374 loss = 0.069035766
[2020-07-08 19:26:39.274796] Epoch : 0375 loss = 0.069026515
[2020-07-08 19:26:43.530048] Epoch : 0376 loss = 0.068642623
